1101,12,873,861
1216,60,647,587
1312,23,644,621
1338F-,110,0,110
1455,274,68,206
1476,144,46,98
1504,71,635,564
1605,39,2409,2370
1718,240,92,148
2002,171,1680,1509
2206,162,7,155
2301,20,664,644
2303,5351,3874,1477
2312,108,0,108
2313,322,6,316
2317,163,1988,1825
2323,0,651,651
2325,2085,688,1397
2330,2481,4461,1980
2344,88,1047,959
2382,38,1431,1393
2409,8580,2273,6307
2454,601,277,324
2485,261,5,256
2609,41,793,752
2610,0,502,502
2801,92,1055,963
2823,11,847,836
2834,79,677,598
2881,2326,1036,1290
2883,80,1923,1843
2884,3147,964,2183
2885,38,3575,3537
2886,313,4853,4540
2887,552,2025,1473
2888,395,2619,2224
2890,250,1327,1077
2891,1370,1059,311
2892,98,1534,1436
2903,0,715,715
3037,0,966,966
3045,340,201,139
3474,1076,2752,1676
3481,15062,1319,13743
3545,103,4,99
3576,273,115,158
3665F-,121,0,121
3682,0,766,766
3698,50,763,713
5347,4069,2447,1622
5371,175,34,141
5490,125,2,123
6166,198,1,197
6176,243,1035,792
6214,413,14,399
6244,162,2,160
6251,200,1,199
6415F-,99,4,95
8016,118,8,110
9904,347,109,238
