1101,7,0,7
1310,40,0,40
1312,0,20,20
1338F-,11,0,11
1460,0,15,15
1477,0,70,70
1507,2,0,2
1702,0,37,37
1707,2,0,2
2308,0,24,24
2317,300,0,300
2324,96,0,96
2344,0,46,46
2347,0,145,145
2354,0,21,21
2356,112,0,112
2357,1,130,129
2367,11,0,11
2377,2,0,2
2392,0,19,19
2412,35,0,35
2456,66,0,66
2474,1,0,1
2520,0,99,99
2524,0,43,43
2723F-,65,0,65
2884,0,622,622
2887,225,8,217
2891,0,17,17
3023,0,20,20
3035,7,0,7
3042,0,25,25
3519,9,0,9
3702,39,0,39
4103,0,40,40
4904,0,238,238
4958F-,2,40,38
5264F-,28,0,28
6220,0,158,158
6505,2,0,2
8042,40,0,40
8437F-,0,15,15
8936,0,50,50
9917,1,0,1
