1339,0,11,11
1734,0,1,1
1784,2,0,2
1815,0,1159,1159
2008,0,4,4
2101,10,0,10
2317,5,0,5
2325,0,46,46
2329,120,160,40
2332,0,365,365
2368,0,10,10
2369,10,0,10
2379,0,21,21
2431,0,5,5
2439,0,10,10
2454,8,0,8
2456,3,0,3
2465,0,11,11
2474,0,5,5
2498,10,11,1
2610,200,0,200
2816,0,1,1
3006,59,60,1
3017,5,0,5
3034,94,92,2
3118,105,64,41
3324,0,205,205
3474,50,55,5
3498,5,0,5
3529,1,0,1
3594,57,2,55
3625,0,140,140
3665F-,10,0,10
3673F-TPK,36,21,15
3706,0,50,50
4190F-,0,5,5
4702,5,0,5
4746,0,1,1
4747,1,0,1
4916,30,0,30
4944,250,0,250
5211,3,0,3
5225F-,0,15,15
5264F-,0,2,2
5508,10,3,7
6104,1,0,1
6116,0,35,35
6120,10,0,10
6214,5,4,1
6282,87,11,76
6451F-,0,15,15
8048,3,0,3
8076,40,20,20
8105,1210,1213,3
8110,7,5,2
8147,10,6,4
8150,0,49,49
8299,0,1,1
8341,191,129,62
