1216,22,44,22
1440,0,351,351
1476,34,0,34
2106,0,226,226
2308,17,0,17
2317,401,37,364
2324,1212,5597,4385
2325,1998,0,1998
2330,1498,44,1454
2451,0,1,1
2474,542,16,526
2476,43,0,43
2891,27,0,27
2903,0,585,585
3008,1,60,59
3034,800,0,800
3045,111,0,111
3231,0,39,39
3474,1480,0,1480
3665F-,26,0,26
4107,67,0,67
4126,5,0,5
4174,120,150,30
4904,0,327,327
4935F-,335,0,335
4947F-,255,0,255
5230,0,58,58
5490,201,0,201
5871F-,81,0,81
6166,374,0,374
6192,0,49,49
6223,0,146,146
6504,11,0,11
8213,876,0,876
9921,45,46,1
