1216,71,624,553
1447,0,230,230
1452,210,99,111
1455,146,31,115
1464,303,89,214
2201,94,4,90
2204,39,156,117
2206,112,11,101
2301,88,295,207
2303,1499,58,1441
2337,220,713,493
2349,70,249,179
2356,24,214,190
2382,80,205,125
2387,110,15,95
2395,9,248,239
2408,109,293,184
2448,156,44,112
2449,143,36,107
2485,270,176,94
2603,71,836,765
2609,208,496,288
2610,230,747,517
2618,557,810,253
2637F-,152,10,142
2881,352,84,268
2882,51,362,311
2884,2016,211,1805
2885,225,18,207
2888,10,557,547
2890,230,7,223
2891,45,284,239
2892,323,26,297
2903,79,228,149
3035,67,202,135
3051,103,6,97
3059,4,184,180
3062,134,40,94
3105,806,357,449
3231,312,51,261
3360,370,144,226
3481,1290,4999,3709
3706,335,79,256
4726,87,2,85
4930,111,243,132
4958F-,10,350,340
4979,100,396,296
5483,76,321,245
5490,177,294,117
6116,432,83,349
6127,0,178,178
6135,94,4,90
6180,2178,1649,529
6451F-,132,1,131
8079,4,150,146
8213,111,27,84
8234,19,132,113
8404F-,25,325,300
9904,218,37,181
9907,260,45,215
