1444,2,258,256
1455,15,65,50
1605,89,135,46
1710,196,69,127
1718,56,108,52
1806,90,1,89
1815,55,117,62
1905,43,158,115
2014,203,58,145
2028,100,0,100
2303,191,127,64
2312,3,72,69
2313,101,312,211
2330,66,9,57
2337,124,802,678
2352,221,312,91
2368,100,1,99
2388,0,50,50
2401,79,6,73
2405,182,16,166
2406,28,140,112
2408,210,150,60
2409,216,362,146
2603,80,32,48
2607,13,85,72
2610,77,151,74
2614,21,68,47
2880,172,0,172
2882,57,124,67
2886,2,83,81
2888,236,1283,1047
2890,194,35,159
3038,2,71,69
3049,107,44,63
3092,82,24,58
3217,66,0,66
3231,1,49,48
3260,58,146,88
3264,6,61,55
3324,74,9,65
3455,71,10,61
3481,200,42,158
3483,5,75,70
3514,74,19,55
3576,19,105,86
3675,5,81,76
3704,55,4,51
4722,0,63,63
4927,87,15,72
5014,288,209,79
6116,2886,564,2322
6138,125,65,60
6145,50,0,50
6187,5,79,74
6426,17,76,59
6443,112,39,73
6531,50,0,50
8034,25,124,99
8271,77,17,60
9105,53,1,52
