1101,11,0,11
1314,0,45,45
1464,2,7,5
1467,13,0,13
1504,5,0,5
1533,10,0,10
1536,5,0,5
1541,12,0,12
1599,3,9,6
1704,10,0,10
1815,0,3,3
2002,10,0,10
2311,20,0,20
2353,0,10,10
2408,0,24,24
2439,6,11,5
2455,0,10,10
2488,5,8,3
2614,60,0,60
2702,0,10,10
2705,40,20,20
2812,50,0,50
2823,5,0,5
2881,6,0,6
2883,50,0,50
2913,5,0,5
3049,0,25,25
3118,0,5,5
3299,4,0,4
3324,0,6,6
3428,0,5,5
3498,10,3,7
3561,20,12,8
3673F-TPK,2,6,4
3682,0,10,10
3694,1,31,30
3702,6,0,6
4167,6,0,6
4306,16,0,16
4432,0,5,5
4906,0,10,10
4944,0,3,3
5315,0,7,7
5439,0,5,5
5483,9,0,9
6143,5,1,4
6182,25,10,15
6247,14,0,14
6269,1,6,5
6274,2,10,8
6282,20,0,20
8039,0,3,3
8066,0,5,5
8105,0,15,15
8109,13,3,10
8433,0,5,5
8446,1,3,2
8454,5,0,5
9105,0,10,10
9955,10,0,10
