1201,134,0,134
1216,0,127,127
1303,0,102,102
1312,22,0,22
1338F-,11,0,11
1460,79,0,79
1702,53,0,53
2059,12,0,12
2103,12,0,12
2104,0,71,71
2106,0,206,206
2303,0,229,229
2311,0,446,446
2317,0,101,101
2325,0,218,218
2327,0,75,75
2330,744,157,587
2355,0,100,100
2356,142,0,142
2360,12,0,12
2385,40,103,63
2390,0,70,70
2393,12,0,12
2395,0,130,130
2449,0,135,135
2474,0,55,55
2498,125,0,125
2601,0,169,169
2615,0,200,200
2637F-,86,48,38
2801,72,0,72
2809,62,0,62
2834,0,307,307
2882,0,129,129
2883,1,149,148
2884,0,51,51
2888,0,2036,2036
2892,71,0,71
3008,57,2,55
3045,0,61,61
3356,13,0,13
3481,0,169,169
3533,18,0,18
3702,0,172,172
3704,51,0,51
3706,964,0,964
4129,240,0,240
4958F-,0,83,83
5347,0,188,188
5871F-,52,0,52
5907F-,0,252,252
6143,83,0,83
6146,27,0,27
6147,0,225,225
6217,0,51,51
6239,80,0,80
6415F-,16,0,16
8039,100,0,100
8404F-,120,0,120
9924,238,0,238
