1326,0,26,26
1537,0,10,10
1565,0,86,86
1730,12,0,12
2059,34,0,34
2062,0,256,256
2317,20,0,20
2330,190,38,152
2331,0,302,302
2355,0,34,34
2379,0,95,95
2383,100,0,100
2385,0,77,77
2412,20,0,20
2474,29,10,19
2520,75,0,75
2912,0,12,12
3008,0,14,14
3105,300,0,300
3617,0,10,10
3658,10,0,10
3665F-,36,0,36
4105,150,0,150
4107,107,0,107
4162,114,0,114
4163,14,0,14
4915,214,0,214
4966F-,25,0,25
4991F-,105,0,105
5904,7,0,7
6261,0,30,30
6285,360,0,360
6415F-,3,0,3
6462,0,83,83
6488,35,0,35
8044,0,19,19
8086,15,0,15
9951,100,0,100
