1301,119,6,113
1303,68,17,51
1312,55,1,54
1314,32,92,60
1605,63,203,140
1714,82,17,65
1815,7,154,147
2002,231,38,193
2301,79,13,66
2303,276,368,92
2312,1,71,70
2325,25,132,107
2328,7,74,67
2330,161,101,60
2344,85,139,54
2349,50,311,261
2352,78,24,54
2356,29,86,57
2368,142,24,118
2371,125,17,108
2401,36,88,52
2406,71,15,56
2409,1158,974,184
2448,40,294,254
2474,8,117,109
2498,727,622,105
2504,11,154,143
2515,74,8,66
2607,3,55,52
2609,150,21,129
2812,0,121,121
2823,19,110,91
2832,0,58,58
2841,75,27,48
2845,111,3,108
2880,135,10,125
2881,61,144,83
2883,444,91,353
2888,213,110,103
2891,269,148,121
3048,248,45,203
3049,3,94,91
3231,24,222,198
3474,558,295,263
3481,1890,367,1523
3642,29,374,345
4735,1,55,54
4915,14,75,61
5263,50,0,50
5481,89,0,89
5493,13,120,107
6016,0,68,68
6116,464,622,158
6244,33,84,51
6282,130,33,97
8046,69,6,63
8925,70,1,69
8926,138,0,138
9105,46,153,107
9907,36,127,91
