1201,1,0,1
1216,0,89,89
1301,0,236,236
1476,52,9,43
2002,0,7,7
2308,9,248,239
2311,0,461,461
2317,25,0,25
2330,22,264,242
2344,390,0,390
2357,0,628,628
2454,682,5,677
2474,17,12,5
2476,36,0,36
2603,3,0,3
2881,0,191,191
2884,2260,0,2260
2912,81,0,81
3008,0,1,1
3042,777,0,777
3044,0,40,40
3045,0,21,21
3088,44,0,44
3552,53,0,53
3673F-TPK,21,0,21
4180,68,0,68
4938,0,20,20
4987,197,0,197
5264F-,816,0,816
5274,13,0,13
5287,22,0,22
5347,1248,331,917
5871F-,0,47,47
6187,85,0,85
6192,0,9,9
6223,0,358,358
8044,12,0,12
8406F-,0,46,46
8454,84,4,80
9802F-,306,0,306
9914,0,100,100
9933,0,185,185
